ST_PC_CODE,ST_NAME,ST_CODE,PC_NAME,PC_CODE,CANDIDATE_NAME,ST_PC_CODE_NAME,CANDIDATE_SEX,CANDIDATE_CATEGORY,CANDIDATE_AGE,PARTY_ABB,TOTAL_VOTES_POLLED,POSITION,PARTY_NAME,MARGIN
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,SAWAKE RAMKRUSHNA PUNDLIKRAO,27_14_SAWAKE RAMKRUSHNA PUNDLIKRAO,M,GEN,38.0,CPIM,2193,18,Communist Party of India (Marxist-Leninist) Red Star,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,CHAVAN VINOD NARAYAN,27_14_CHAVAN VINOD NARAYAN,M,GEN,59.0,IND,2177,19,Independent,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,SHAIKH JABBAR SHAIKH USUF,27_14_SHAIKH JABBAR SHAIKH USUF,M,GEN,36.0,IND,2172,20,Independent,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,SURESH RAJARAM MUKHMALE,27_14_SURESH RAJARAM MUKHMALE,M,GEN,33.0,MVA,2130,21,Maharashtra Vikas Aghadi,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,RAGHUNATH SHANKARRAO SHELKE,27_14_RAGHUNATH SHANKARRAO SHELKE,M,GEN,60.0,ARP,1911,22,Ambedkarist Republican Party,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,PRASHANT PANDHARINATH SURVE,27_14_PRASHANT PANDHARINATH SURVE,M,GEN,46.0,IND,1558,23,Independent,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,KAMBLE UTTAM BHAGAJI,27_14_KAMBLE UTTAM BHAGAJI,M,GEN,46.0,PRCP,1402,24,Prabuddha Republican Party,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,SHYAMKUMAR BAPURAO LOKHANDE,27_14_SHYAMKUMAR BAPURAO LOKHANDE,M,GEN,46.0,IND,1218,25,Independent,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,MESHRAM DNYANESHWAR TUKARAM,27_14_MESHRAM DNYANESHWAR TUKARAM,M,GEN,37.0,IND,1036,26,Independent,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,PATIL UPENDRA BABARAO,27_14_PATIL UPENDRA BABARAO,M,GEN,40.0,IND,895,27,Independent,0
7_6,DELHI,7,WEST DELHI,6,PARVESH SAHIB SINGH VERMA,7_6_PARVESH SAHIB SINGH VERMA,M,GEN,36.0,BJP,651395,1,Bharatiya Janata Party,268586
7_6,DELHI,7,WEST DELHI,6,JARNAIL SINGH,7_6_JARNAIL SINGH,M,GEN,41.0,AAAP,382809,2,Aam Aadmi Party,0
7_6,DELHI,7,WEST DELHI,6,MAHABAL MISHRA,7_6_MAHABAL MISHRA,M,GEN,61.0,INC,193266,3,Indian National Congress,0
7_6,DELHI,7,WEST DELHI,6,JARNAIL SINGH,7_6_JARNAIL SINGH,M,GEN,41.0,IND,84722,4,Independent,0
7_6,DELHI,7,WEST DELHI,6,RAJ PAL SINGH,7_6_RAJ PAL SINGH,M,GEN,51.0,BSP,8707,5,Bahujan Samaj Party,0
7_6,DELHI,7,WEST DELHI,6,None of the Above,7_6_None of the Above,0,0,0.0,NOTA,7932,6,None of the Above,0
7_6,DELHI,7,WEST DELHI,6,JARNAIL SINGH,7_6_JARNAIL SINGH,M,GEN,41.0,IND,5960,7,Independent,0
7_6,DELHI,7,WEST DELHI,6,SUNIL SOURABH,7_6_SUNIL SOURABH,M,GEN,45.0,IND,3624,8,Independent,0
7_6,DELHI,7,WEST DELHI,6,VIRENDER MOHAN VATS,7_6_VIRENDER MOHAN VATS,M,GEN,56.0,IND,3078,9,Independent,0
7_6,DELHI,7,WEST DELHI,6,BABU SINGH DUKHIYA,7_6_BABU SINGH DUKHIYA,M,SC,57.0,IND,1654,10,Independent,0
7_6,DELHI,7,WEST DELHI,6,ISTAK KHAN,7_6_ISTAK KHAN,M,GEN,38.0,IND,988,11,Independent,0
7_6,DELHI,7,WEST DELHI,6,UDAY KUMAR SINGH KUSHWAHA,7_6_UDAY KUMAR SINGH KUSHWAHA,M,GEN,31.0,BMUP,805,12,Bahujan Mukti Party,0
7_6,DELHI,7,WEST DELHI,6,HAR GOBIND ARORA,7_6_HAR GOBIND ARORA,M,GEN,42.0,SHS,703,13,Shivsena,0
7_6,DELHI,7,WEST DELHI,6,DINESH KUMAR KUSHWAHA,7_6_DINESH KUMAR KUSHWAHA,M,GEN,34.0,ABSP,651,14,Akhand Bharat Samaj Party,0
7_6,DELHI,7,WEST DELHI,6,RAKESH KUMAR,7_6_RAKESH KUMAR,M,GEN,31.0,bjdi,458,15,Bhartiya Janta Dal (Integrated),0
7_6,DELHI,7,WEST DELHI,6,CHARAN JEET SINGH KHALSA,7_6_CHARAN JEET SINGH KHALSA,M,GEN,46.0,AIFB,451,16,All India Forward Bloc,0
7_6,DELHI,7,WEST DELHI,6,DEEPAK KUMAR,7_6_DEEPAK KUMAR,M,SC,30.0,RJAP,415,17,Rashtriya Janadhikar Party,0
7_6,DELHI,7,WEST DELHI,6,KARAM CHAND LATHWAL,7_6_KARAM CHAND LATHWAL,M,GEN,48.0,BPC,353,18,Bhartiya Pragatisheel Congress,0
32_4,KERALA,32,WAYANAD,4,M I SHANAVAS,32_4_M I SHANAVAS,M,GEN,62.0,INC,377035,1,Indian National Congress,20870
32_4,KERALA,32,WAYANAD,4,SATHYAN MOKERI,32_4_SATHYAN MOKERI,M,GEN,60.0,CPI,356165,2,Communist Party of India,0
32_4,KERALA,32,WAYANAD,4,P R RASMILNATH,32_4_P R RASMILNATH,M,GEN,37.0,BJP,80752,3,Bharatiya Janata Party,0
32_4,KERALA,32,WAYANAD,4,P V ANVAR,32_4_P V ANVAR,M,GEN,45.0,IND,37123,4,Independent,0
32_4,KERALA,32,WAYANAD,4,JALEEL NEELAMBRA,32_4_JALEEL NEELAMBRA,M,GEN,58.0,SDPI,14327,5,SOCIAL DEMOCRATIC PARTY OF INDIA,0
32_4,KERALA,32,WAYANAD,4,RAMLA MAMPAD,32_4_RAMLA MAMPAD,F,GEN,56.0,WPOI,12645,6,Welfare Party Of India,0
32_4,KERALA,32,WAYANAD,4,None of the Above,32_4_None of the Above,0,0,0.0,NOTA,10735,7,None of the Above,0
32_4,KERALA,32,WAYANAD,4,ADV. P P A SAGEER,32_4_ADV. P P A SAGEER,M,GEN,35.0,AAAP,10684,8,Aam Aadmi Party,0
32_4,KERALA,32,WAYANAD,4,SATHYAN THAZHEMANGAD,32_4_SATHYAN THAZHEMANGAD,M,GEN,30.0,IND,5476,9,Independent,0
32_4,KERALA,32,WAYANAD,4,SATHYAN PUTHANVEETTIL,32_4_SATHYAN PUTHANVEETTIL,M,GEN,37.0,IND,2855,10,Independent,0
32_4,KERALA,32,WAYANAD,4,CLEATUS,32_4_CLEATUS,M,GEN,58.0,IND,1517,11,Independent,0
32_4,KERALA,32,WAYANAD,4,VAPPAN,32_4_VAPPAN,M,SC,69.0,BSP,1317,12,Bahujan Samaj Party,0
32_4,KERALA,32,WAYANAD,4,ABRAHAM BENHUR,32_4_ABRAHAM BENHUR,M,GEN,64.0,IND,1308,13,Independent,0
32_4,KERALA,32,WAYANAD,4,SAM P MATHEW,32_4_SAM P MATHEW,M,GEN,39.0,CPIM,1222,14,Communist Party of India (Marxist-Leninist) Red Star,0
32_4,KERALA,32,WAYANAD,4,SINOJ A C,32_4_SINOJ A C,M,GEN,25.0,IND,1104,15,Independent,0
32_4,KERALA,32,WAYANAD,4,SATHEESH CHANDRAN,32_4_SATHEESH CHANDRAN,M,SC,53.0,AITC,741,16,All India Trinamool Congress,0
27_8,MAHARASHTRA,27,WARDHA,8,RAMDAS CHANDRABHANJI TADAS,27_8_RAMDAS CHANDRABHANJI TADAS,M,GEN,62.0,BJP,537518,1,Bharatiya Janata Party,215783
27_8,MAHARASHTRA,27,WARDHA,8,MEGHE SAGAR DATTATRAYA,27_8_MEGHE SAGAR DATTATRAYA,M,GEN,43.0,INC,321735,2,Indian National Congress,0
27_8,MAHARASHTRA,27,WARDHA,8,CHETAN BHIMRAJ PENDAM,27_8_CHETAN BHIMRAJ PENDAM,M,ST,41.0,BSP,90866,3,Bahujan Samaj Party,0
27_8,MAHARASHTRA,27,WARDHA,8,MOHD. ALIM PATEL MOHD. WAHID,27_8_MOHD. ALIM PATEL MOHD. WAHID,M,GEN,37.0,AAAP,15738,4,Aam Aadmi Party,0
27_8,MAHARASHTRA,27,WARDHA,8,UBALE SHRIKRUSHNA CHAMPATRAO,27_8_UBALE SHRIKRUSHNA CHAMPATRAO,M,GEN,67.0,ARP,6405,5,Ambedkarist Republican Party,0
27_8,MAHARASHTRA,27,WARDHA,8,MANISH VINAYAKRAO TELRANDHE,27_8_MANISH VINAYAKRAO TELRANDHE,M,GEN,43.0,IND,5127,6,Independent,0
27_8,MAHARASHTRA,27,WARDHA,8,SHAMBHARKAR RAJENDRA GULABRAO,27_8_SHAMBHARKAR RAJENDRA GULABRAO,M,SC,51.0,IND,4436,7,Independent,0
27_8,MAHARASHTRA,27,WARDHA,8,RAVI ALIAS SHAILESH GANESHRAO YELNE,27_8_RAVI ALIAS SHAILESH GANESHRAO YELNE,M,GEN,38.0,IND,3881,8,Independent,0
27_8,MAHARASHTRA,27,WARDHA,8,SHAMBABA ALIAS SHAMSUNDAR PANJABRAO NICHIT,27_8_SHAMBABA ALIAS SHAMSUNDAR PANJABRAO NICHIT,M,GEN,46.0,IND,3440,9,Independent,0
27_8,MAHARASHTRA,27,WARDHA,8,None of the Above,27_8_None of the Above,0,0,0.0,NOTA,3343,10,None of the Above,0
27_8,MAHARASHTRA,27,WARDHA,8,BHASKAR MAROTRAO NEWARE,27_8_BHASKAR MAROTRAO NEWARE,M,GEN,37.0,IND,3156,11,Independent,0
27_8,MAHARASHTRA,27,WARDHA,8,RAUT JAGANATH NILKANTH,27_8_RAUT JAGANATH NILKANTH,M,GEN,51.0,IND,2638,12,Independent,0
27_8,MAHARASHTRA,27,WARDHA,8,NARENDRA CHINDUJI MESHRAM,27_8_NARENDRA CHINDUJI MESHRAM,M,Gen,51.0,GGP,2627,13,Gondvana Gantantra Party,0
27_8,MAHARASHTRA,27,WARDHA,8,KISHOR RAMBHAU KINKAR,27_8_KISHOR RAMBHAU KINKAR,M,GEN,43.0,BMUP,2518,14,Bahujan Mukti Party,0
27_8,MAHARASHTRA,27,WARDHA,8,TADAS VILAS KRUSHNAJI,27_8_TADAS VILAS KRUSHNAJI,M,GEN,39.0,IND,2124,15,Independent,0
27_8,MAHARASHTRA,27,WARDHA,8,DR. ANKUSH VIJAYRAO NAWALE,27_8_DR. ANKUSH VIJAYRAO NAWALE,M,GEN,28.0,SP,1858,16,Samajwadi Party,0
27_8,MAHARASHTRA,27,WARDHA,8,DESHMUKH JAIDEEP RAJENDRA,27_8_DESHMUKH JAIDEEP RAJENDRA,M,GEN,46.0,IND,1431,17,Independent,0
27_8,MAHARASHTRA,27,WARDHA,8,SACHIN PANDURANGJI RAUT ALIAS GURUBHAU,27_8_SACHIN PANDURANGJI RAUT ALIAS GURUBHAU,M,GEN,36.0,IND,1245,18,Independent,0
27_8,MAHARASHTRA,27,WARDHA,8,DEEPAKSINGH TRYAMBAKRAO DESHMUKH,27_8_DEEPAKSINGH TRYAMBAKRAO DESHMUKH,M,GEN,60.0,IND,1122,19,Independent,0
27_8,MAHARASHTRA,27,WARDHA,8,JAGDISH BHAGWAN KADU,27_8_JAGDISH BHAGWAN KADU,M,GEN,40.0,IND,853,20,Independent,0
27_8,MAHARASHTRA,27,WARDHA,8,SANJAYBHAU NARAYANRAO CHIDAM,27_8_SANJAYBHAU NARAYANRAO CHIDAM,M,ST,40.0,IND,770,21,Independent,0
27_8,MAHARASHTRA,27,WARDHA,8,ARVIND SHAMRAO LILLORE,27_8_ARVIND SHAMRAO LILLORE,M,GEN,36.0,IND,614,22,Independent,0
28_15,ANDHRA PRADESH,28,WARANGAL,15,KADIYAM SRIHARI,28_15_KADIYAM SRIHARI,M,SC,63.0,TRS,661639,1,Telangana Rashtra Samithi,392574
28_15,ANDHRA PRADESH,28,WARANGAL,15,RAJAIAH SIRICILLA,28_15_RAJAIAH SIRICILLA,M,SC,61.0,INC,269065,2,Indian National Congress,0
28_15,ANDHRA PRADESH,28,WARANGAL,15,PARAMESHWAR RAMAGALLA,28_15_PARAMESHWAR RAMAGALLA,M,SC,55.0,BJP,187139,3,Bharatiya Janata Party,0
28_15,ANDHRA PRADESH,28,WARANGAL,15,None of the Above,28_15_None of the Above,0,0,0.0,NOTA,14034,4,None of the Above,0
28_15,ANDHRA PRADESH,28,WARANGAL,15,GANNARAPU SURENDER,28_15_GANNARAPU SURENDER,M,SC,49.0,BSP,9536,5,Bahujan Samaj Party,0
28_15,ANDHRA PRADESH,28,WARANGAL,15,CHILUVERU PRATHAP,28_15_CHILUVERU PRATHAP,M,SC,40.0,IND,9178,6,Independent,0
28_15,ANDHRA PRADESH,28,WARANGAL,15,THUPPARI NARASIMHA SWAMY,28_15_THUPPARI NARASIMHA SWAMY,M,SC,44.0,PPOI,7350,7,Pyramid Party of India,0
28_15,ANDHRA PRADESH,28,WARANGAL,15,CHINTHA SWAMY,28_15_CHINTHA SWAMY,M,SC,44.0,AAAP,5569,8,Aam Aadmi Party,0
28_15,ANDHRA PRADESH,28,WARANGAL,15,JANNU MAHENDAR,28_15_JANNU MAHENDAR,M,SC,33.0,IND,3211,9,Independent,0
28_15,ANDHRA PRADESH,28,WARANGAL,15,VENKANNA KANNAM,28_15_VENKANNA KANNAM,M,SC,36.0,MCPI,2258,10,Marxist Communist Party of India (United),0
28_15,ANDHRA PRADESH,28,WARANGAL,15,VENKANNA NEERUDU,28_15_VENKANNA NEERUDU,M,SC,38.0,BMUP,2098,11,Bahujan Mukti Party,0
28_15,ANDHRA PRADESH,28,WARANGAL,15,KANAKAM RAMESH,28_15_KANAKAM RAMESH,M,SC,34.0,IND,2013,12,Independent,0
28_15,ANDHRA PRADESH,28,WARANGAL,15,VENU ESAMPELLY,28_15_VENU ESAMPELLY,M,SC,37.0,AIFB,1541,13,All India Forward Bloc,0
28_20,ANDHRA PRADESH,28,VIZIANAGARAM,20,ASHOK GAJAPATHI RAJU PUSAPATI,28_20_ASHOK GAJAPATHI RAJU PUSAPATI,M,GEN,62.0,TDP,536549,1,Telugu Desam,106911
28_20,ANDHRA PRADESH,28,VIZIANAGARAM,20,VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU,28_20_VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU,M,GEN,33.0,YSRCP,429638,2,Yuvajana Sramika Rythu Congress Party,0
28_20,ANDHRA PRADESH,28,VIZIANAGARAM,20,JHANSI LAKSHMI BOTCHA,28_20_JHANSI LAKSHMI BOTCHA,F,GEN,50.0,INC,122487,3,Indian National Congress,0
28_20,ANDHRA PRADESH,28,VIZIANAGARAM,20,None of the Above,28_20_None of the Above,0,0,0.0,NOTA,6528,4,None of the Above,0
28_20,ANDHRA PRADESH,28,VIZIANAGARAM,20,PRASADA RAO NANDA,28_20_PRASADA RAO NANDA,M,GEN,42.0,PPOI,6401,5,Pyramid Party of India,0
28_20,ANDHRA PRADESH,28,VIZIANAGARAM,20,YELLA RAO SIYYADULA,28_20_YELLA RAO SIYYADULA,M,SC,33.0,IND,5125,6,Independent,0
28_20,ANDHRA PRADESH,28,VIZIANAGARAM,20,BONU KRISHNA,28_20_BONU KRISHNA,M,SC,50.0,BSP,4092,7,Bahujan Samaj Party,0
28_20,ANDHRA PRADESH,28,VIZIANAGARAM,20,HARIKISHAN KUPPILI,28_20_HARIKISHAN KUPPILI,M,GEN,37.0,IND,3603,8,Independent,0
28_20,ANDHRA PRADESH,28,VIZIANAGARAM,20,TADIVAKA RAMESH NAIDU,28_20_TADIVAKA RAMESH NAIDU,M,GEN,44.0,JaSPa,3388,9,Jai Samaikyandhra Party,0
28_20,ANDHRA PRADESH,28,VIZIANAGARAM,20,NARU SIMHADRI NAIDU,28_20_NARU SIMHADRI NAIDU,M,GEN,58.0,AAAP,2505,10,Aam Aadmi Party,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,KAMBHAMPATI HARI BABU,28_21_KAMBHAMPATI HARI BABU,M,GEN,60.0,BJP,566832,1,Bharatiya Janata Party,90488
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,Y.S VIJAYAMMA,28_21_Y.S VIJAYAMMA,F,GEN,58.0,YSRCP,476344,2,Yuvajana Sramika Rythu Congress Party,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,BOLISETTI SATYANARAYANA (SATYA),28_21_BOLISETTI SATYANARAYANA (SATYA),M,GEN,57.0,INC,50632,3,Indian National Congress,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,IMANDI VENKATA KURMARAO,28_21_IMANDI VENKATA KURMARAO,M,GEN,43.0,BSP,14947,4,Bahujan Samaj Party,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,None of the Above,28_21_None of the Above,0,0,0.0,NOTA,7329,5,None of the Above,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,SABBAM HARI,28_21_SABBAM HARI,M,GEN,60.0,JaSPa,6644,6,Jai Samaikyandhra Party,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,KUNA RAMAM,28_21_KUNA RAMAM,M,GEN,51.0,AAAP,6175,7,Aam Aadmi Party,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,TANUKU DIVAKAR,28_21_TANUKU DIVAKAR,M,GEN,46.0,IND,5418,8,Independent,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,JT RAMARAO,28_21_JT RAMARAO,M,GEN,42.0,sps,4323,9,Samaikyandhra Parirakshana Samithi,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,DADI JYOTHI BHAVANI,28_21_DADI JYOTHI BHAVANI,F,GEN,43.0,PPOI,2717,10,Pyramid Party of India,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,DURGAPRASAD GUNTU,28_21_DURGAPRASAD GUNTU,M,GEN,45.0,IND,2611,11,Independent,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,NAGENDRA SAIRAM,28_21_NAGENDRA SAIRAM,M,GEN,27.0,IND,2377,12,Independent,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,KURADA SATYANARAYANA PATNAIK,28_21_KURADA SATYANARAYANA PATNAIK,M,GEN,50.0,IND,1927,13,Independent,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,DR|| BHAVANI SANKAR SASTRY.A,28_21_DR|| BHAVANI SANKAR SASTRY.A,M,GEN,49.0,ICSP,1910,14,Indian Christian Secular Party,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,KUTIKUPPALA SURYA RAO,28_21_KUTIKUPPALA SURYA RAO,M,GEN,60.0,IND,1889,15,Independent,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,SEEMAKURTHI SRINUVASU (BHAGHAVAN SRINU),28_21_SEEMAKURTHI SRINUVASU (BHAGHAVAN SRINU),M,GEN,41.0,IND,1759,16,Independent,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,UMAMAHESWARARAO ARETI,28_21_UMAMAHESWARARAO ARETI,M,SC,33.0,IND,1751,17,Independent,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,CHALAPATHIRAO RONANKI,28_21_CHALAPATHIRAO RONANKI,M,GEN,60.0,IND,1594,18,Independent,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,J. PADMAJA,28_21_J. PADMAJA,F,GEN,34.0,IND,1540,19,Independent,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,SREENADH REDDY,28_21_SREENADH REDDY,M,GEN,39.0,IND,1379,20,Independent,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,CHANDRASEKHAR BUDDA,28_21_CHANDRASEKHAR BUDDA,M,GEN,35.0,IND,1348,21,Independent,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,GEDELA KRISHNARAO,28_21_GEDELA KRISHNARAO,M,ST,60.0,IND,1118,22,Independent,0
28_21,ANDHRA PRADESH,28,VISAKHAPATNAM,21,BRAHMA SWAROOP KASIBHATTA,28_21_BRAHMA SWAROOP KASIBHATTA,M,GEN,46.0,IND,994,23,Independent,0
33_34,TAMIL NADU,33,VIRUDUNAGAR,34,RADHAKRISHNAN T,33_34_RADHAKRISHNAN T,M,GEN,59.0,ADMK,406694,1,All India Anna Dravida Munnetra Kazhagam,145551
33_34,TAMIL NADU,33,VIRUDUNAGAR,34,VAIKO,33_34_VAIKO,M,GEN,69.0,MDMK,261143,2,Marumalarchi Dravida Munnetra Kazhagam,0
33_34,TAMIL NADU,33,VIRUDUNAGAR,34,RETHINAVELU S,33_34_RETHINAVELU S,M,GEN,71.0,DMK,241505,3,Dravida Munnetra Kazhagam,0
33_34,TAMIL NADU,33,VIRUDUNAGAR,34,MANICKAM TAGORE B,33_34_MANICKAM TAGORE B,M,GEN,39.0,INC,38482,4,Indian National Congress,0
33_34,TAMIL NADU,33,VIRUDUNAGAR,34,SAMUELRAJ K,33_34_SAMUELRAJ K,M,SC,46.0,CPM,20157,5,Communist Party of India  (Marxist),0
33_34,TAMIL NADU,33,VIRUDUNAGAR,34,None of the Above,33_34_None of the Above,0,0,0.0,NOTA,12225,6,None of the Above,0
33_34,TAMIL NADU,33,VIRUDUNAGAR,34,SOUNDRAPANDIYAN K,33_34_SOUNDRAPANDIYAN K,M,GEN,64.0,IND,3470,7,Independent,0
