Store,Coords,City,State
1188055,"[-73.57352076862452, 40.8283260906988]",New York,New York
24342,"[-73.93162830793698, 41.13268588450429]",New York,New York
21021,"[-73.7649945865593, 40.88550126390792]",New York,New York
21122,"[-73.94866334336024, 41.43920721528267]",New York,New York
22107,"[-73.80131584832179, 40.59198745590687]",New York,New York
24568,"[-73.89807389168963, 40.60674584445018]",New York,New York
653037,"[-73.91777066073381, 40.73254913800477]",New York,New York
812391,"[-73.72061059467323, 41.14689628192816]",New York,New York
936660,"[-73.77071453787687, 40.89211394768506]",New York,New York
36161,"[-73.5308566192356, 40.62826517905548]",New York,New York
1379288,"[-73.98278166221017, 40.694654833107855]",New York,New York
22555,"[-73.82382920011582, 40.728835954834295]",New York,New York
22537,"[-73.90636547474479, 40.77463737346132]",New York,New York
22861,"[-73.78629061733507, 40.86253523100167]",New York,New York
45263,"[-73.75880911582999, 41.09815636171864]",New York,New York
35853,"[-73.8952544595571, 40.996893567858294]",New York,New York
20877,"[-73.91753556259104, 40.74956031250231]",New York,New York
22482,"[-73.942143421237, 40.60614696528116]",New York,New York
22703,"[-73.92186657922315, 40.860635657106194]",New York,New York
19480,"[-73.87608935466045, 40.983684675646174]",New York,New York
54857,"[-73.71632440869212, 40.74942821025454]",New York,New York
19189,"[-73.50714179296318, 40.662278752180434]",New York,New York
1123492,"[-73.82805092193016, 41.08324506266072]",New York,New York
22552,"[-73.93958985457668, 41.04735904599241]",New York,New York
20903,"[-73.91087835156866, 40.77210114199596]",New York,New York
44668,"[-73.7720971647541, 40.687902561752836]",New York,New York
22726,"[-73.77691560853567, 40.669661769544504]",New York,New York
31861,"[-74.21092398145832, 41.30702994345962]",New York,New York
35667,"[-73.59107983655224, 40.92576549785347]",New York,New York
29116,"[-73.6862718429096, 40.61966026670223]",New York,New York
1188057,"[-73.80680062812957, 40.64951577109863]",New York,New York
118901,"[-73.64373317892807, 40.65029333486711]",New York,New York
674685,"[-73.88498880584936, 40.641054646745324]",New York,New York
2082738,"[-73.66169855716196, 40.77892612213136]",New York,New York
147513,"[-73.85952296614148, 40.937302469297435]",New York,New York
25553,"[-73.50071951514477, 40.68146492637573]",New York,New York
1705499,"[-73.94242497689996, 40.65694135650362]",New York,New York
35693,"[-73.89639805826252, 41.02472500314595]",New York,New York
24363,"[-73.82209330234072, 40.74508180040303]",New York,New York
26815,"[-73.91939446425157, 40.81509621858682]",New York,New York
10765,"[-74.06543731110433, 41.5040120644378]",New York,New York
52863,"[-73.83859295798953, 41.08915702527857]",New York,New York
1197666,"[-73.76988780892289, 40.74303048293465]",New York,New York
1210852,"[-73.87267803334228, 40.98332489930097]",New York,New York
20430,"[-73.86205682312666, 40.574139770565566]",New York,New York
65,"[-73.53621344488411, 40.88228613415663]",New York,New York
45863,"[-73.94030072259297, 40.79479708004108]",New York,New York
1103561,"[-73.81091095888029, 40.75444022045866]",New York,New York
35162,"[-73.49975687079076, 40.80933787836386]",New York,New York
431380,"[-73.86248619631336, 40.98079586886267]",New York,New York
20250,"[-73.7796406527142, 41.19721729749919]",New York,New York
2387266,"[-73.51192976166496, 40.946437497258465]",New York,New York
429138,"[-73.65439917603467, 40.87998863237752]",New York,New York
48342,"[-73.85778007513214, 40.80813021378483]",New York,New York
24468,"[-73.77440845802911, 40.62934984161134]",New York,New York
1281689,"[-73.87977871320679, 40.79764846296418]",New York,New York
80998,"[-73.73742094163744, 40.85143036101849]",New York,New York
829567,"[-73.8679470784678, 40.62079224024133]",New York,New York
936648,"[-73.49621927167262, 40.737142709359624]",New York,New York
40511,"[-73.76444583916275, 40.924150611237174]",New York,New York
22456,"[-73.75739691781811, 40.88084034296939]",New York,New York
69854,"[-73.85597920259457, 40.97663652830155]",New York,New York
42822,"[-73.51667543012086, 40.83360655418114]",New York,New York
47715,"[-73.91153560762298, 40.811544571699514]",New York,New York
21011,"[-73.60496468456626, 40.860205011431376]",New York,New York
19237,"[-73.79549643656681, 40.75318988111005]",New York,New York
22477,"[-74.1563262360143, 41.21795971428498]",New York,New York
17947,"[-73.86116825411314, 40.8379892766444]",New York,New York
814998,"[-74.02004339386886, 41.318387630588774]",New York,New York
21964,"[-74.17972652182863, 41.36662801089713]",New York,New York
1114791,"[-74.26684272123232, 41.201279532704646]",New York,New York
20940,"[-73.9151080608443, 40.82729686749312]",New York,New York
19497,"[-73.67191564327688, 40.62709891896318]",New York,New York
1848654,"[-73.99650795644595, 40.74596124370428]",New York,New York
8382138,"[-73.90538671797101, 41.37751841779471]",New York,New York
2452989,"[-73.6817349326718, 40.82461078404517]",New York,New York
22529,"[-73.87400131333136, 40.674267189921004]",New York,New York
4446095,"[-73.66870559090619, 41.00249563155872]",New York,New York
2366659,"[-73.81193768446144, 41.17757223100743]",New York,New York
22849,"[-74.28059967821919, 41.47384395203012]",New York,New York
1231416,"[-73.91961861267548, 40.71735752922046]",New York,New York
26259,"[-73.7466141298233, 40.79673265814566]",New York,New York
22352,"[-73.92615017113403, 40.895274825070715]",New York,New York
1430147,"[-73.65411774062217, 40.9770404125444]",New York,New York
936822,"[-73.78014848251499, 40.75306791793805]",New York,New York
37969,"[-73.75827786226407, 40.70190496515697]",New York,New York
812383,"[-73.61554054205762, 40.85986101012117]",New York,New York
29063,"[-73.77946330133682, 41.24992319650677]",New York,New York
1064922,"[-73.80901447813117, 41.111762760366396]",New York,New York
1871244,"[-73.54809998470475, 40.683985989810296]",New York,New York
50951,"[-73.7964281340589, 40.63898844222871]",New York,New York
2070413,"[-73.80715213777188, 40.95805041882122]",New York,New York
48573,"[-73.9705019848526, 40.78570177410038]",New York,New York
22531,"[-73.7170620190378, 40.93447325270589]",New York,New York
26935,"[-73.78253681433782, 40.78935575495307]",New York,New York
35177,"[-73.79522233022294, 40.86154543036907]",New York,New York
442588,"[-73.82527282566032, 40.60739928855716]",New York,New York
7326262,"[-73.72794925851623, 41.03068439563498]",New York,New York
1264113,"[-73.88039615733881, 41.04682133849979]",New York,New York
33585,"[-73.92350000030247, 40.66556727680383]",New York,New York
19265,"[-74.13135705703544, 41.18303041793149]",New York,New York
45260,"[-73.8696523932111, 40.63988114343764]",New York,New York
1398707,"[-74.24923713517025, 41.15161799988188]",New York,New York
56699,"[-73.69527245979734, 41.145236897759034]",New York,New York
69872,"[-73.90551345017171, 41.25591872223579]",New York,New York
1896260,"[-73.89115837230224, 40.725071244008284]",New York,New York
4446090,"[-73.81647062682934, 40.95063137830846]",New York,New York
21020,"[-73.70130771584486, 41.1761672082593]",New York,New York
1103885,"[-73.92066591362665, 40.74130315456488]",New York,New York
1665773,"[-74.03492877175454, 41.05589340528277]",New York,New York
44023,"[-73.506050617988, 40.749977861558676]",New York,New York
10698,"[-73.89171145943274, 40.63988769380133]",New York,New York
1848657,"[-73.68871689344199, 41.129905776900856]",New York,New York
56498,"[-73.82832281834948, 40.9077059069288]",New York,New York
31930,"[-73.96027972417173, 40.59820639520152]",New York,New York
34165,"[-73.80310742980764, 40.73125495263703]",New York,New York
19261,"[-73.91343409723368, 41.037481808323]",New York,New York
1937954,"[-73.77783025815802, 40.982078898828526]",New York,New York
24475,"[-73.84537426840241, 41.15422687239796]",New York,New York
2128453,"[-74.42281026775983, 41.3877502621425]",New York,New York
1792583,"[-73.91780745677494, 40.56721534950101]",New York,New York
43119,"[-73.90534054527477, 40.85557265383178]",New York,New York
2135873,"[-74.14043148132338, 41.27122476299007]",New York,New York
2373054,"[-74.00316759842715, 40.698014049535004]",New York,New York
22484,"[-73.96445985906894, 41.025206642146046]",New York,New York
1907488,"[-73.7669732136549, 40.89128571464537]",New York,New York
20611,"[-73.56485111956152, 40.736378595228715]",New York,New York
20882,"[-73.90541414034685, 41.1089367873954]",New York,New York
114214,"[-73.79306940486924, 40.91580098584299]",New York,New York
50156,"[-73.79968961871153, 40.89692464249196]",New York,New York
5931827,"[-73.85872965079679, 40.7157699811167]",New York,New York
1128367,"[-73.66814068874292, 40.601051522226165]",New York,New York
653140,"[-73.75684274952536, 41.149418841461774]",New York,New York
687947,"[-73.74390116333517, 41.13836732328279]",New York,New York
2372018,"[-73.63394393398109, 40.92167889833694]",New York,New York
22730,"[-74.24908231615181, 41.45274604444026]",New York,New York
37067,"[-73.9537734963503, 40.69164287640452]",New York,New York
1118106,"[-73.92165207649413, 41.39435300215957]",New York,New York
21590,"[-73.85078811568701, 40.6380461051299]",New York,New York
4667407,"[-73.41384483276096, 40.74991151773329]",New York,New York
24527,"[-73.33312728158758, 40.90260548214278]",New York,New York
29099,"[-73.94527575725468, 40.64942559455978]",New York,New York
1050549,"[-73.97652256367223, 40.682556091078084]",New York,New York
77999,"[-73.9133742028746, 40.905946593452136]",New York,New York
1685284,"[-73.82353325424167, 41.215484236125384]",New York,New York
25495,"[-73.77916968162017, 40.792574498265985]",New York,New York
949257,"[-73.595084755464, 40.64738915110043]",New York,New York
1188058,"[-73.89381055720827, 41.197138232226806]",New York,New York
1210850,"[-73.7024155465311, 41.16985003751375]",New York,New York
19162,"[-73.89751601194433, 40.825533582651694]",New York,New York
17871,"[-73.42596843390989, 40.78697818102494]",New York,New York
16046,"[-73.97352302796422, 40.62638576339443]",New York,New York
4349814,"[-74.28403751976141, 41.38972954409274]",New York,New York
16794,"[-73.9713041871091, 40.81659587791804]",New York,New York
406878,"[-73.87815520422365, 40.92780978305559]",New York,New York
64002,"[-73.7365276717454, 41.04961925420718]",New York,New York
15872,"[-73.95064927642139, 41.06639211026937]",New York,New York
6276166,"[-73.63457011392259, 40.61399223024054]",New York,New York
1173406,"[-73.89298129098785, 40.57269361810353]",New York,New York
1955652,"[-73.73107972509965, 40.62755003537707]",New York,New York
20758,"[-73.86920099705229, 40.60178077864966]",New York,New York
1430148,"[-73.679861918631, 40.87436939135331]",New York,New York
32533,"[-73.880544831242, 40.64220450256881]",New York,New York
937467,"[-73.9951676159207, 41.21778056803719]",New York,New York
22283,"[-74.02533931684341, 41.09921383925484]",New York,New York
20640,"[-73.88346949425303, 40.63656808835576]",New York,New York
22458,"[-73.91859571963754, 40.95338834569652]",New York,New York
1667795,"[-73.91453429446267, 40.893748817450046]",New York,New York
847772,"[-73.72021828172228, 41.053111158324526]",New York,New York
1685241,"[-73.88475494436231, 40.872376832300205]",New York,New York
8004217,"[-74.19070188968651, 41.13886797489137]",New York,New York
78469,"[-73.6973191462162, 40.80651622077368]",New York,New York
1123432,"[-73.91869696315446, 41.061679227360706]",New York,New York
21958,"[-73.80169656664128, 40.819856333823516]",New York,New York
2154841,"[-74.07570207568136, 41.15734170676919]",New York,New York
8014740,"[-73.89560493258485, 40.74972123512016]",New York,New York
48572,"[-73.72930203932631, 40.77254910289713]",New York,New York
61676,"[-73.91716201912763, 40.62509121280367]",New York,New York
19204,"[-73.55052636758313, 41.54092618434435]",New York,New York
1649914,"[-73.9583350577675, 40.612581580393346]",New York,New York
19857,"[-73.59539353419682, 40.64193218183599]",New York,New York
21085,"[-73.82065171041806, 40.60118520879953]",New York,New York
643588,"[-73.74156485351443, 40.82238098330066]",New York,New York
2329996,"[-73.84014689479635, 40.94390973061253]",New York,New York
23939,"[-73.59793273477878, 40.74243124025261]",New York,New York
69817,"[-73.83862878718112, 41.16016000664618]",New York,New York
1587109,"[-73.83689122214962, 40.70216032278489]",New York,New York
1948823,"[-73.92264086497406, 40.75075649287385]",New York,New York
6276151,"[-73.82203823261564, 40.674971496936855]",New York,New York
1685247,"[-73.82626103351716, 40.97626284487998]",New York,New York
1675280,"[-73.86411207395304, 40.71233068657966]",New York,New York
50512,"[-73.81018315724833, 40.66936788844123]",New York,New York
1081535,"[-73.79983911436317, 40.7237635715703]",New York,New York
1685278,"[-73.99216863268305, 41.32695161868857]",New York,New York
56497,"[-73.64672599816646, 40.76764997351347]",New York,New York
1569010,"[-73.75073807205987, 40.67242829484767]",New York,New York
8356583,"[-73.66154918898899, 40.93529004236791]",New York,New York
2132937,"[-73.92172925897759, 40.88113377601783]",New York,New York
155559,"[-73.58129448677894, 40.64732476551678]",New York,New York
22857,"[-73.7804241038714, 40.78428115338442]",New York,New York
4617344,"[-74.09198517114285, 41.250590253503745]",New York,New York
28132,"[-73.94913979750707, 40.67851101643212]",New York,New York
22546,"[-74.419376430692, 41.30788982635491]",New York,New York
75123,"[-73.82272617634769, 40.97990005916129]",New York,New York
19635,"[-73.88126948689843, 40.69131136653003]",New York,New York
4400719,"[-73.93916249907421, 40.83016748066231]",New York,New York
1576729,"[-74.00875454457109, 41.111620065400444]",New York,New York
1913278,"[-73.65720768056524, 40.6511221997213]",New York,New York
1197665,"[-73.70527835601281, 40.64820489974579]",New York,New York
47197,"[-73.71170270020714, 40.86923995266294]",New York,New York
48919,"[-73.82959742432797, 40.92548337470673]",New York,New York
21111,"[-73.90458476108891, 40.929532045486646]",New York,New York
20623,"[-73.93762785966385, 40.83570174566611]",New York,New York
1197664,"[-73.87321149135134, 41.21471002833614]",New York,New York
2502397,"[-73.92960810568273, 40.661078114729044]",New York,New York
1627398,"[-74.2394639234101, 41.31234328767996]",New York,New York
4227616,"[-73.931627907872, 40.71383707630394]",New York,New York
22699,"[-73.61867368118085, 40.81955260996827]",New York,New York
43949,"[-73.71541466656052, 40.85106719378654]",New York,New York
32120,"[-73.92661775377375, 41.01696201504052]",New York,New York
69775,"[-73.73875787200498, 40.701072843883985]",New York,New York
29953,"[-74.02529740726234, 41.18011148503897]",New York,New York
2096230,"[-73.27396959667136, 40.75624551451068]",New York,New York
22905,"[-73.96712275797107, 40.609675172406966]",New York,New York
29302,"[-74.09793173226048, 41.14035197838464]",New York,New York
86200,"[-73.59228354120951, 40.83165455831106]",New York,New York
1042603,"[-73.73263071938794, 40.741103407057174]",New York,New York
1360232,"[-73.86155558925299, 40.72774765665024]",New York,New York
928080,"[-73.76150521214055, 40.659372823190765]",New York,New York
7886860,"[-73.89021005404508, 40.8159123458012]",New York,New York
1473949,"[-73.81699889848588, 40.96703756272442]",New York,New York
7448474,"[-73.8611602915149, 40.83082997927247]",New York,New York
36075,"[-73.67515052344346, 41.14011708249614]",New York,New York
1521970,"[-73.8950096813969, 40.76000817634034]",New York,New York
19538,"[-73.98485142556297, 41.23914197812958]",New York,New York
76214,"[-73.88229481889005, 40.62534367041933]",New York,New York
16006,"[-73.85421044941165, 40.57315101318532]",New York,New York
44291,"[-73.98930126946954, 40.67163789033408]",New York,New York
1878063,"[-74.17533044698733, 41.32912015367462]",New York,New York
2395203,"[-73.6386275337649, 40.94558139212703]",New York,New York
24351,"[-74.03340259866951, 41.10616839185452]",New York,New York
26942,"[-73.98483776215754, 40.683752787299966]",New York,New York
1712854,"[-73.8809844405146, 40.85294925256032]",New York,New York
17522,"[-73.62070330333354, 40.61330243298211]",New York,New York
1253811,"[-73.74077908111498, 41.356672204980754]",New York,New York
70469,"[-73.63910505872994, 40.78375384989864]",New York,New York
23832,"[-73.90778143134926, 41.40624151684583]",New York,New York
1126275,"[-73.66532288559095, 40.88718300608141]",New York,New York
1124946,"[-73.82111685366908, 41.34854841472156]",New York,New York
4231916,"[-73.83717679606528, 40.58883827736439]",New York,New York
34148,"[-73.47860827873627, 40.848245007994024]",New York,New York
4525092,"[-73.83205308577755, 40.60641353479563]",New York,New York
2073645,"[-73.71356335537958, 40.6192902766338]",New York,New York
19259,"[-73.70523526891505, 40.60421527934976]",New York,New York
981020,"[-73.72726108626448, 40.73370988286663]",New York,New York
61664,"[-73.44541877414692, 40.70108110738093]",New York,New York
10358,"[-73.79886531236146, 40.67817798127372]",New York,New York
8058976,"[-73.80729390053916, 41.05825588584901]",New York,New York
45224,"[-73.92842222363805, 41.46164665878587]",New York,New York
787462,"[-73.71777020363025, 40.598118825861]",New York,New York
7886854,"[-73.8975438865648, 40.960064192628444]",New York,New York
21983,"[-74.05720481747143, 41.34403585309447]",New York,New York
43369,"[-73.71515741612524, 40.626590172843706]",New York,New York
19543,"[-73.93412269466084, 40.66871230663803]",New York,New York
16871,"[-73.80127616926023, 40.77325060314354]",New York,New York
20984,"[-73.56805983574284, 40.64467429679471]",New York,New York
884091,"[-73.80485092197684, 40.711998164280615]",New York,New York
9853717,"[-73.95793676195123, 41.07900731895066]",New York,New York
44468,"[-73.67896067272154, 40.906590767037706]",New York,New York
4380532,"[-73.88224841086833, 40.84963665906467]",New York,New York
1580267,"[-73.78007026387479, 40.89144498527422]",New York,New York
21082,"[-73.92345260010283, 41.01189603965945]",New York,New York
21990,"[-73.89991307995727, 41.059449878300875]",New York,New York
1406966,"[-73.46707118094251, 40.70782377460197]",New York,New York
1046065,"[-73.5126554697046, 40.753199314036124]",New York,New York
36357,"[-73.4639590571231, 40.65231081636192]",New York,New York
7810996,"[-73.90397965990236, 40.86887639198833]",New York,New York
1757060,"[-73.63102179086899, 40.95948177925777]",New York,New York
933857,"[-73.72591892787719, 40.81557654886444]",New York,New York
20433,"[-73.91322364003891, 40.57124839406893]",New York,New York
9733973,"[-73.80614311250336, 40.83693265599204]",New York,New York
9600321,"[-73.82840612766879, 41.05784006396369]",New York,New York
22732,"[-73.92860304445793, 40.86871355310131]",New York,New York
1259877,"[-73.83039796620697, 40.69217768340286]",New York,New York
36960,"[-73.87172272364745, 40.870376168489535]",New York,New York
36051,"[-73.6961008446472, 40.62749644474805]",New York,New York
35966,"[-73.65832264088156, 40.6244764983198]",New York,New York
2372017,"[-73.55412611693018, 40.5979684982837]",New York,New York
894243,"[-73.98178760763597, 41.099302258319014]",New York,New York
1134962,"[-73.55436362649286, 40.652844041369846]",New York,New York
858561,"[-73.6387205917859, 40.70227427544819]",New York,New York
1188059,"[-73.81436761614363, 41.00745237417173]",New York,New York
154817,"[-73.96842523954163, 40.65264420539969]",New York,New York
40143,"[-73.69036881418705, 40.64606404361884]",New York,New York
2273073,"[-73.9782230302492, 41.10680825407625]",New York,New York
7916179,"[-73.86413458318815, 40.72140762903369]",New York,New York
19278,"[-73.94449891112562, 41.02173990639933]",New York,New York
1404831,"[-73.54290353740399, 40.93668252615351]",New York,New York
1118107,"[-73.90873435555736, 40.55495695194645]",New York,New York
1598228,"[-73.8515780129664, 41.42509749720034]",New York,New York
8059097,"[-73.77256165690157, 40.836008502901834]",New York,New York
27752,"[-73.77580821138676, 41.1353315001068]",New York,New York
45748,"[-73.78635370228557, 40.96680708806695]",New York,New York
5977226,"[-73.93139654264998, 40.76678778007906]",New York,New York
1188060,"[-73.73030702321557, 40.730326498294794]",New York,New York
26468,"[-73.55336407477483, 40.58945348370734]",New York,New York
1407716,"[-73.64164453081443, 40.630821096174394]",New York,New York
112391,"[-73.36553028456566, 40.83031032171176]",New York,New York
4231999,"[-73.77619069164442, 41.203585514597876]",New York,New York
3203501,"[-73.84033955258606, 40.577576339299526]",New York,New York
8343775,"[-73.80115745485313, 40.734104172078055]",New York,New York
1386643,"[-73.76288449981806, 40.72037312134847]",New York,New York
1955661,"[-73.83968986761035, 41.271781162166086]",New York,New York
4242474,"[-73.49705699435226, 40.83085945108698]",New York,New York
1680501,"[-73.8882275472174, 41.17398870981822]",New York,New York
1070563,"[-73.62211683674609, 40.654224919697185]",New York,New York
16064,"[-73.90241447644347, 41.18643109765297]",New York,New York
31796,"[-73.70641324264751, 40.96337361039241]",New York,New York
4250718,"[-73.6029316579932, 40.75667499511941]",New York,New York
22474,"[-74.29764374924127, 41.25349006826028]",New York,New York
116501,"[-73.7783502619428, 40.88208145423394]",New York,New York
44017,"[-73.7396437029101, 40.75116052047629]",New York,New York
26932,"[-73.88682110032781, 40.592041013080575]",New York,New York
28074,"[-73.8328500524888, 40.814360928969535]",New York,New York
1032450,"[-73.92390402583712, 40.70962920479911]",New York,New York
804760,"[-73.71042208838622, 40.8816095569444]",New York,New York
46494,"[-73.60274467864447, 40.734367312933735]",New York,New York
2502259,"[-73.65361604256847, 40.87498191881257]",New York,New York
192589,"[-73.74332920104008, 41.09122465399083]",New York,New York
4214925,"[-73.6436066171311, 40.81686167598954]",New York,New York
650286,"[-74.0651542450795, 41.11976582725355]",New York,New York
4461377,"[-74.02597043456146, 41.055772270780025]",New York,New York
54819,"[-73.92708236308793, 40.86389854541522]",New York,New York
20613,"[-73.74382341928943, 40.89864282833414]",New York,New York
2502255,"[-73.7655411249393, 40.97175800486995]",New York,New York
19407,"[-73.63450121705027, 40.7618963922165]",New York,New York
2465138,"[-73.9473036830774, 40.76944787419906]",New York,New York
1070568,"[-74.12403195289342, 41.50126464337065]",New York,New York
17837,"[-73.7459173024329, 40.93050299245708]",New York,New York
20919,"[-73.58044076429223, 41.28539590559924]",New York,New York
35341,"[-73.79970033216429, 41.01934056849628]",New York,New York
36505,"[-73.84718158386167, 40.595566603309784]",New York,New York
46027,"[-73.68488588822021, 40.62675669822713]",New York,New York
321907,"[-73.56558024966289, 40.67463936545252]",New York,New York
19266,"[-73.62493795398697, 40.870452622747656]",New York,New York
2500712,"[-73.83585847758573, 40.73442112139878]",New York,New York
120625,"[-73.82450930114307, 41.028082078464614]",New York,New York
1259875,"[-73.74942523229875, 40.63735963498439]",New York,New York
1795338,"[-73.728989764989, 40.89430996117145]",New York,New York
587268,"[-73.75990793689284, 40.664965731946374]",New York,New York
21592,"[-73.90700433170767, 40.792355931258115]",New York,New York
152082,"[-73.61900005177287, 40.66789916376903]",New York,New York
1671106,"[-73.61744667393214, 40.63576349785449]",New York,New York
686249,"[-73.88892821942287, 40.64576312714372]",New York,New York
644574,"[-73.62272966715557, 40.61971925161862]",New York,New York
25298,"[-73.37379995796975, 40.930384514285805]",New York,New York
20021,"[-73.70069522137155, 40.93228547316982]",New York,New York
1258476,"[-73.98453834289778, 41.19337181675665]",New York,New York
76306,"[-73.98585879313246, 40.72801012753548]",New York,New York
66923,"[-73.90385707948424, 40.734986628045704]",New York,New York
41313,"[-73.8942951696181, 40.8113713530596]",New York,New York
19182,"[-73.7302780953834, 40.85112522727962]",New York,New York
76337,"[-73.77118586985881, 40.77491569315415]",New York,New York
1685259,"[-73.9656530106824, 40.80542891113099]",New York,New York
19353,"[-73.43330732128979, 40.89815743962183]",New York,New York
640948,"[-73.84580863633224, 40.74049119795358]",New York,New York
19139,"[-73.76307383727558, 40.795211262005886]",New York,New York
26331,"[-73.89142714685339, 40.591638908617405]",New York,New York
44253,"[-73.93442576297502, 41.13820386529301]",New York,New York
1119999,"[-73.79829342990045, 40.66051400931514]",New York,New York
44559,"[-73.97632521815704, 41.04429669834751]",New York,New York
1245714,"[-73.60690160916751, 40.82686715087773]",New York,New York
1067445,"[-73.89408338883224, 41.368418379398136]",New York,New York
24381,"[-73.95844202959009, 40.85472875977964]",New York,New York
2502374,"[-73.75499957943019, 40.853928489410286]",New York,New York
2501823,"[-73.77901107329855, 40.757394361952294]",New York,New York
26368,"[-73.78347355207497, 40.96288370484639]",New York,New York
1173162,"[-73.98736664741448, 40.729017323783985]",New York,New York
1623682,"[-73.72237984492438, 40.6398180887235]",New York,New York
113855,"[-73.84604671060934, 40.62595395748197]",New York,New York
34453,"[-74.00100246942752, 40.6679752461024]",New York,New York
42257,"[-73.86330208953895, 40.725217155350855]",New York,New York
4680495,"[-118.23006565092766, 34.196295196359664]",Los Angeles,California
26986,"[-118.31378972146375, 34.081430289791776]",Los Angeles,California
23141,"[-118.35976692066612, 34.26010132463382]",Los Angeles,California
2502530,"[-118.28089956261461, 34.03213302200454]",Los Angeles,California
26945,"[-118.34106455811661, 33.95410295203864]",Los Angeles,California
26686,"[-118.46050479028084, 34.0087633300868]",Los Angeles,California
640776,"[-118.0618690683259, 34.248703735101806]",Los Angeles,California
5960383,"[-118.36848261872152, 34.12256879017925]",Los Angeles,California
2126818,"[-118.22376066700215, 34.1030766738105]",Los Angeles,California
32002,"[-118.2430094683417, 34.516984628203055]",Los Angeles,California
1123445,"[-118.2633816616623, 33.99722828521261]",Los Angeles,California
149520,"[-118.27398987840535, 33.91446985688296]",Los Angeles,California
9549403,"[-118.12971480385276, 34.17643186024195]",Los Angeles,California
42748,"[-118.20914253646765, 34.20917274765028]",Los Angeles,California
2339696,"[-118.53528091892811, 34.165437642294805]",Los Angeles,California
696308,"[-118.29749889887574, 34.229555957712584]",Los Angeles,California
60652,"[-118.39495988783345, 34.19316110369531]",Los Angeles,California
4216187,"[-118.21084196318404, 33.919687027347976]",Los Angeles,California
940579,"[-118.1485689529415, 34.14517898819456]",Los Angeles,California
2412258,"[-118.25561514939038, 34.19976930589053]",Los Angeles,California
31615,"[-118.2926397446429, 33.96507003301701]",Los Angeles,California
4381215,"[-118.3045161821658, 33.79950053754444]",Los Angeles,California
722688,"[-118.21332926716748, 34.033730048954254]",Los Angeles,California
414052,"[-118.20466116470398, 34.206255897520684]",Los Angeles,California
26413,"[-118.32613925954432, 33.98790357089955]",Los Angeles,California
55815,"[-118.20552358407035, 34.016917505110264]",Los Angeles,California
25666,"[-118.24410016584028, 34.0133266557308]",Los Angeles,California
112461,"[-118.38274723591327, 33.91571312509782]",Los Angeles,California
883506,"[-118.19236214937594, 33.991712453734195]",Los Angeles,California
77546,"[-118.14860963803439, 34.134086494625464]",Los Angeles,California
21126,"[-118.26394236926167, 34.05330634184321]",Los Angeles,California
2154317,"[-118.04873542258062, 33.83610332712128]",Los Angeles,California
22472,"[-118.22404214675679, 34.03707527109159]",Los Angeles,California
41793,"[-118.25782016447312, 34.18563259441658]",Los Angeles,California
1108784,"[-118.2272497609706, 34.043876236717935]",Los Angeles,California
30018,"[-118.18863032619085, 33.91731953756241]",Los Angeles,California
22535,"[-118.37189917163631, 34.04799184943695]",Los Angeles,California
